candidate_id,candidate_name,search_status,lead_count,lead_1_url,lead_1_domain,lead_1_title,lead_2_url,lead_2_domain,lead_2_title,lead_3_url,lead_3_domain,lead_3_title,verification_status,reviewer,notes
001,鼎泰豐（101店）,success,3,https://guide.easytravel.com.tw/scenic/61552,guide.easytravel.com.tw,鼎泰豐-101旗艦店 | 台灣旅遊景點行程,https://xnfood.com.tw/dintaifung-2/,xnfood.com.tw,《食記》『鼎泰豐』- 台北市 捷運台北101/世貿站 台北101美食街 - 賽肥膩膩の娛樂生活誌,https://carp0729.tw/2016/01/blogger-ding.html,carp0729.tw,【台北信義】鼎泰豐101店 @魚樂分享誌 @ 魚樂分享誌,needs_direct_verification,,
004,紫艷中餐廳,success,3,https://eattaipei.tw/yen/,eattaipei.tw,紫艷中餐廳-台北W飯店創意粵菜#信義區美食(內有菜單),https://www.tablecheck.com/zh-TW/w-hotel-yen/reserve,tablecheck.com,YEN Chinese Restaurant 紫艷中餐廳- 台北W飯店,https://www.wingontravel.com/discovery/restaurant-13587902,wingontravel.com,【紫艷中餐廳食評及介紹2026】台北必食推介：餐牌價錢、營業時間及地址 - 永安旅遊,needs_direct_verification,,
005,合.Shabu,success,3,https://www.hostshabu.com/,hostshabu.com,台北頂級鍋物｜觀光客最愛鍋物｜信義區聚餐推薦｜合shabu,https://ifoodie.com.tw/restaurant/559dba8ac03a103ee86ca04d-%E5%90%88-shabu,ifoodie.com.tw,合‧shabu 24hr線上訂位 - 台北信義區的火鍋 | 愛食記,https://anikofoodie.com/hostshabu/,anikofoodie.com,【台北美食】合shabu。信義區頂級鍋物推薦！專人桌邊服務，澎湃海鮮和鮮美牛肉過節最有儀式感 - ANIKO 艾妮可美味人生,needs_direct_verification,,
007,隨意鳥101高空觀景餐廳,success,3,https://www.dt101.com.tw/,dt101.com.tw,隨意鳥地方,https://annieko.tw/diamond-tonys/,annieko.tw,台北101約會餐廳推薦【隨意鳥地方 101景觀餐廳】絕美高空窗景，浪漫情調約會最佳據點，平日午餐不用千元就能享用。 - 安妮的天空,https://www.peipeipigtravel.com/diamond-tonys/,peipeipigtravel.com,台北101美食｜隨意鳥地方Diamond Tony’s 101 Panorama Restaurant 85F高空景觀餐廳－預付訂金就升級浮誇甜點，再送水果冰茶（內附菜單） | 美食瑜樂,needs_direct_verification,,
008,LA FARFALLA 義式餐廳－台北艾麗酒店,success,3,https://maggieblog.tw/lafarfalla/,maggieblog.tw,台北寒舍艾麗酒店 LA FARFALLA 義式餐廳，義式半自助 Buffet 浪漫約會看101! – 瑪姬幸福過日子,https://www.tablecheck.com/zh-TW/la-farfalla-italy/reserve/landing,tablecheck.com,LA FARFALLA 義式餐廳- 台北艾麗酒店,https://litwenblog.com/lafarfallalinner/,litwenblog.com,台北艾麗酒店「La Farfalla義式餐廳」肉食主義3.0自助式下午餐開箱 @小蚊子愛飛飛 litwenblog @ 小蚊子愛飛飛 litwenblog,needs_direct_verification,,
010,泰市場海鮮自助餐廳,success,3,https://www.cosmopolitan.com/tw/lifestyle/hot-topics/g60086796/spice-market/,cosmopolitan.com,「泰市場海鮮自助餐廳」重磅回歸！多達90道噴香菜色，泰式榴槤披薩、香茅青檸啤酒、泰國嘟嘟糕通通吃到飽,https://www.regenttaiwan.com/dining/outside-dining/spice-market,regenttaiwan.com,泰市場 | 館外餐廳 | 佳餚美饌 | 台北晶華酒店,https://bibilo.tw/spice-market/,bibilo.tw,泰市場海鮮自助餐 Spice Market 大直英迪格 台北唯一泰式吃到飽 台北吃到飽推薦 – 魔王的碗公,needs_direct_verification,,
011,凱菲屋－台北君悅酒店,success,3,https://www.wendyjourney.com/hyatt-cafe/,wendyjourney.com,【台北吃到飽】2026 台北君悅酒店凱菲屋下午茶、午餐、晚餐菜單價位&餐券優惠 | Wendy's Journey,https://vivianexplore.tw/cafe-at-grand-hyatt-taipei/,vivianexplore.tw,【2026凱菲屋】台北君悅酒店自助餐，海鮮、甜點、中式餐點推薦！,https://bobowin.blog/cafe-hyatt/,bobowin.blog,"網路票選Buffet冠軍~台北君悅凱菲屋, 烤鴨/黑松露燉飯/肋眼牛/現包小籠包/異國料理都吃的到",needs_direct_verification,,
012,一蘭拉麵－台灣台北本店,success,3,https://ichiran.com.tw/shop/stores.aspx,ichiran.com.tw,一蘭拉麵| 一蘭台灣官方購物網 - 一蘭、一蘭拉麵、拉麵、一蘭台灣購物網、一蘭購物、一蘭伴手禮、台灣一蘭、日本食品、博多細麵、捲麵、豚骨拉麵、一蘭商品、伴手禮、拉麵商品、即食麵、釜醬汁豚骨拉麵、博多拉麵、日本泡麵、日本進口、福岡、九州、日本,https://zh-cht.ichiran.com/shop/oversea/taiwan/taipei-honten/,zh-cht.ichiran.com,台灣台北總店 | 店舖指南 | 天然豚骨湯拉麵,https://hamibobo.tw/ichiran-taipei/,hamibobo.tw,台北信義美食「一蘭拉麵 台灣台北本店」24小時營業、點餐方式、菜單價位 – 海綿飽飽的鳳梨城堡,needs_direct_verification,,
013,Texas Roadhouse,success,3,https://texasroadhouse.com.tw/,texasroadhouse.com.tw,Texas Roadhouse 德州鮮切牛排,https://www.tylinnetravel.tw/texas-roadhouse-songgao/,tylinnetravel.tw,【台北美食】德州鮮切牛排，火烤熟成的美味 | 麵包花生吃到飽 | 美式連鎖餐廳 | 信義美食聚餐推薦 - 踢賴旅遊,https://www.viviyu.com/archives/60380,viviyu.com,[青埔美食]Texas Roadhouse 德州鮮切牛排|道地美式料理、鮮切牛排、歡樂用餐氣氛一次滿足！麵包、花生可無限續用,needs_direct_verification,,
014,彩日本料理－台北君悅酒店,success,3,https://kkmurmur.com/irodori-taipei/,kkmurmur.com,【彩日本料理】君悅酒店日本料理吃到飽，料鮮味美、還有隱藏版菜色｜台北信義區美食/自助餐推薦｜捷運台北101/世貿站(價格/菜色/優惠資訊) - 老K嘴一下,https://blake.com.tw/blog/post/irodori,blake.com.tw,彩日本料理｜台北君悅酒店日式料理吃到飽，老實說有一半的人不知道，但平日中午竟然直接客滿！ @布雷克的出走旅行視界,https://mayawang.site/13678,mayawang.site,【信義食記】彩日本料理吃到飽假日餐期開箱，位於台北君悅酒店，近捷運市政府/101站(Buffet價錢/訂位方式) – MayaWang 麻亞愛吃喝玩樂,needs_direct_verification,,
